File                    DER    JER    B3-Precision    B3-Recall    B3-F1    GKT(ref, sys)    GKT(sys, ref)    H(ref|sys)    H(sys|ref)    MI    NMI
--------------------  -----  -----  --------------  -----------  -------  ---------------  ---------------  ------------  ------------  ----  -----
HECodemixedFemale517  10.56   7.40            0.84         0.99     0.91             0.99             0.71          0.41          0.02  0.91   0.82
HECodemixedFemale518  17.13  30.06            0.72         0.80     0.76             0.47             0.43          0.73          0.44  0.37   0.39
HECodemixedFemale519  37.76  67.35            0.50         1.00     0.67             1.00             0.00          1.20          0.00  0.00   0.00
HECodemixedFemale520  17.08  26.54            0.74         0.80     0.77             0.57             0.51          0.64          0.42  0.53   0.50
HECodemixedFemale521  16.84  40.19            0.72         0.90     0.80             0.32             0.28          0.72          0.21  0.20   0.33
HECodemixedFemale522  46.37  66.05            0.47         0.81     0.59             0.03             0.02          1.20          0.48  0.02   0.03
HECodemixedFemale523  43.95  71.12            0.48         1.00     0.65             1.00             0.00          1.18          0.00  0.00   0.00
HECodemixedFemale524  12.73  23.13            0.78         0.84     0.81             0.63             0.55          0.57          0.37  0.51   0.53
HECodemixedFemale525  50.36  73.36            0.45         1.00     0.62             1.00             0.00          1.28          0.00  0.00   0.00
HECodemixedFemale526  18.14  58.71            0.70         1.00     0.82             1.00             0.00          0.80          0.00  0.00   0.00
HECodemixedFemale527  35.83  53.66            0.55         0.83     0.66             0.21             0.17          1.08          0.35  0.18   0.22
HECodemixedFemale528  25.07  62.08            0.62         1.00     0.76             1.00             0.00          0.95          0.00  0.00   0.00
HECodemixedFemale529   9.75  13.29            0.83         0.90     0.86             0.79             0.68          0.48          0.27  0.72   0.66
HECodemixedFemale530  35.88  55.40            0.55         0.78     0.64             0.23             0.13          0.95          0.50  0.17   0.19
HECodemixedFemale531  18.30  41.38            0.70         0.89     0.79             0.31             0.27          0.76          0.23  0.20   0.32
HECodemixedFemale532  32.06  47.20            0.62         0.73     0.67             0.29             0.26          0.87          0.54  0.28   0.29
HECodemixedFemale533  19.33  44.97            0.69         0.89     0.78             0.29             0.22          0.75          0.24  0.19   0.30
HECodemixedFemale534  46.38  71.41            0.46         1.00     0.63             1.00             0.00          1.28          0.00  0.00   0.00
HECodemixedFemale535  18.05  58.62            0.70         1.00     0.83             1.00             0.00          0.81          0.00  0.00   0.00
HECodemixedFemale536  18.69  28.85            0.71         0.76     0.73             0.51             0.44          0.72          0.57  0.43   0.40
HECodemixedFemale537  31.94  53.75            0.57         0.87     0.69             0.19             0.15          1.03          0.28  0.15   0.21
HECodemixedFemale538  47.74  72.89            0.47         1.00     0.64             1.00             0.00          1.19          0.00  0.00   0.00
HECodemixedFemale539  37.06  67.47            0.51         1.00     0.68             1.00             0.00          1.16          0.00  0.00   0.00
HECodemixedFemale540   5.87  11.34            0.91         0.99     0.95             0.97             0.77          0.22          0.02  0.75   0.87
HECodemixedFemale541  10.84  22.37            0.81         0.90     0.85             0.62             0.53          0.55          0.21  0.42   0.54
HECodemixedFemale542  46.77  61.83            0.60         0.70     0.64             0.16             0.14          0.91          0.62  0.17   0.18
HECodemixedFemale543   7.75  15.88            0.87         0.91     0.88             0.76             0.67          0.39          0.28  0.58   0.63
HECodemixedFemale544  37.57  59.51            0.55         0.85     0.66             0.13             0.12          1.01          0.34  0.11   0.16
