File                    DER    JER    B3-Precision    B3-Recall    B3-F1    GKT(ref, sys)    GKT(sys, ref)    H(ref|sys)    H(sys|ref)    MI    NMI
--------------------  -----  -----  --------------  -----------  -------  ---------------  ---------------  ------------  ------------  ----  -----
HECodemixedFemale1    20.22  43.19            0.68         0.88     0.77             0.29             0.25          0.81          0.24  0.20   0.30
HECodemixedFemale10   34.25  55.57            0.57         0.83     0.68             0.17             0.16          0.96          0.36  0.15   0.20
HECodemixedFemale100  12.21  28.60            0.79         0.89     0.84             0.50             0.44          0.59          0.22  0.32   0.46
HECodemixedFemale101  22.29  38.53            0.67         0.83     0.74             0.38             0.33          0.83          0.35  0.31   0.36
HECodemixedFemale102  22.08  45.59            0.66         0.86     0.75             0.37             0.21          0.78          0.33  0.23   0.31
HECodemixedFemale103  16.04  36.37            0.73         0.87     0.80             0.37             0.34          0.69          0.27  0.25   0.35
HECodemixedFemale104  43.38  64.87            0.49         0.85     0.62             0.05             0.04          1.16          0.38  0.03   0.05
HECodemixedFemale105   8.30   8.04            0.86         0.97     0.91             0.92             0.72          0.39          0.07  0.81   0.79
HECodemixedFemale106  15.71  20.71            0.77         0.87     0.82             0.74             0.58          0.59          0.31  0.68   0.61
HECodemixedFemale107  27.35  57.68            0.60         0.93     0.73             0.09             0.08          0.93          0.16  0.07   0.14
HECodemixedFemale108   5.34  11.32            0.90         0.94     0.92             0.79             0.71          0.34          0.19  0.50   0.66
HECodemixedFemale109  11.25  20.66            0.81         0.93     0.87             0.67             0.47          0.57          0.14  0.37   0.53
HECodemixedFemale11   11.51  11.99            0.82         0.95     0.88             0.88             0.66          0.51          0.15  0.77   0.71
HECodemixedFemale110  16.82  26.46            0.73         0.81     0.77             0.60             0.49          0.65          0.42  0.53   0.50
HECodemixedFemale111   6.54   6.66            0.88         0.97     0.92             0.92             0.76          0.35          0.10  0.79   0.78
HECodemixedFemale112  24.01  42.43            0.64         0.81     0.72             0.34             0.28          0.84          0.37  0.28   0.33
HECodemixedFemale113  13.17  25.65            0.77         0.84     0.80             0.54             0.50          0.63          0.38  0.40   0.45
HECodemixedFemale114  48.10  70.39            0.50         0.93     0.65             0.04             0.04          1.10          0.19  0.04   0.08
HECodemixedFemale115  29.61  47.87            0.60         0.81     0.69             0.27             0.23          0.94          0.38  0.23   0.27
HECodemixedFemale116  34.54  46.64            0.61         0.71     0.66             0.33             0.27          0.91          0.58  0.32   0.31
HECodemixedFemale117  18.90  28.97            0.71         0.77     0.74             0.54             0.45          0.68          0.52  0.48   0.44
HECodemixedFemale118  27.25  51.87            0.61         0.88     0.72             0.19             0.17          0.92          0.26  0.14   0.22
HECodemixedFemale119  10.38   9.54            0.83         0.96     0.89             0.92             0.71          0.44          0.09  0.91   0.79
HECodemixedFemale12    6.06  11.88            0.89         0.93     0.91             0.83             0.75          0.33          0.23  0.66   0.70
HECodemixedFemale120  51.23  64.61            0.56         0.73     0.63             0.14             0.12          1.01          0.57  0.15   0.17
HECodemixedFemale121  14.94  20.78            0.81         0.93     0.86             0.85             0.61          0.47          0.21  0.75   0.69
HECodemixedFemale122  31.30  60.96            0.57         0.95     0.71             0.07             0.06          1.01          0.14  0.05   0.11
HECodemixedFemale123  13.32  18.59            0.80         0.89     0.84             0.77             0.62          0.52          0.29  0.71   0.64
HECodemixedFemale124  25.94  39.03            0.64         0.70     0.67             0.35             0.31          0.86          0.66  0.29   0.28
HECodemixedFemale125  28.84  49.06            0.60         0.84     0.70             0.24             0.21          0.96          0.32  0.20   0.25
HECodemixedFemale126  30.98  64.70            0.56         1.00     0.72             1.00             0.00          1.07          0.00  0.00   0.00
HECodemixedFemale127  11.25  19.72            0.80         0.86     0.83             0.64             0.57          0.58          0.36  0.48   0.51
HECodemixedFemale128  42.35  67.71            0.50         0.95     0.65             0.04             0.04          1.13          0.14  0.04   0.08
HECodemixedFemale13   26.91  40.04            0.62         0.69     0.65             0.35             0.28          0.86          0.68  0.29   0.28
HECodemixedFemale14   39.17  62.22            0.51         0.91     0.66             0.10             0.08          1.14          0.22  0.08   0.13
HECodemixedFemale15   14.53  26.73            0.75         0.82     0.79             0.52             0.49          0.66          0.39  0.41   0.44
HECodemixedFemale16   37.09  52.31            0.60         0.62     0.61             0.21             0.15          0.88          0.80  0.17   0.17
HECodemixedFemale17    8.68  14.13            0.84         0.89     0.87             0.78             0.70          0.44          0.28  0.69   0.66
HECodemixedFemale18   38.24  68.18            0.54         0.93     0.69             0.21             0.02          1.00          0.19  0.07   0.13
HECodemixedFemale19   52.02  73.52            0.43         1.00     0.60             1.00             0.00          1.34          0.00  0.00   0.00
HECodemixedFemale2    38.09  56.23            0.55         0.78     0.64             0.19             0.15          0.99          0.47  0.18   0.21
HECodemixedFemale20   10.56  15.28            0.82         0.89     0.85             0.76             0.64          0.55          0.30  0.62   0.60
HECodemixedFemale21   33.70  50.07            0.56         0.70     0.62             0.25             0.16          0.97          0.66  0.19   0.19
HECodemixedFemale22   20.42  39.33            0.68         0.85     0.76             0.48             0.31          0.74          0.34  0.34   0.40
HECodemixedFemale23   38.22  59.93            0.52         0.88     0.66             0.13             0.10          1.12          0.26  0.11   0.16
HECodemixedFemale24   10.58  14.85            0.83         0.93     0.87             0.85             0.67          0.48          0.23  0.75   0.68
HECodemixedFemale25   18.64  49.25            0.70         0.93     0.80             0.17             0.15          0.76          0.15  0.10   0.22
HECodemixedFemale26    6.76   6.28            0.88         0.97     0.92             0.94             0.77          0.34          0.06  0.87   0.82
HECodemixedFemale27   10.82  22.55            0.81         0.86     0.83             0.58             0.55          0.55          0.32  0.42   0.49
HECodemixedFemale28    7.70  11.73            0.86         0.92     0.89             0.80             0.71          0.44          0.20  0.68   0.69
HECodemixedFemale29   14.97  24.80            0.76         0.84     0.80             0.59             0.52          0.64          0.33  0.50   0.51
HECodemixedFemale3    32.48  52.79            0.58         0.81     0.67             0.22             0.18          0.92          0.41  0.20   0.24
HECodemixedFemale30   46.58  71.48            0.45         1.00     0.62             1.00             0.00          1.28          0.00  0.00   0.00
HECodemixedFemale31   38.63  61.59            0.51         0.84     0.63             0.05             0.04          1.12          0.40  0.04   0.06
HECodemixedFemale32   15.25  27.44            0.75         0.82     0.79             0.55             0.50          0.61          0.36  0.48   0.50
HECodemixedFemale33   25.82  40.04            0.65         0.75     0.70             0.38             0.34          0.79          0.50  0.35   0.35
HECodemixedFemale34   48.39  62.97            0.56         0.71     0.63             0.21             0.11          0.93          0.60  0.20   0.21
HECodemixedFemale35   19.29  42.01            0.69         0.89     0.77             0.27             0.21          0.83          0.26  0.15   0.24
HECodemixedFemale36   10.85  16.26            0.81         0.87     0.84             0.73             0.65          0.52          0.30  0.67   0.62
HECodemixedFemale37   43.99  56.13            0.54         0.70     0.61             0.20             0.16          1.08          0.61  0.20   0.20
HECodemixedFemale38   53.52  72.81            0.41         1.00     0.58             1.00             0.00          1.41          0.00  0.00   0.00
HECodemixedFemale39   19.62  37.18            0.69         0.83     0.75             0.37             0.33          0.78          0.37  0.27   0.33
HECodemixedFemale4     5.23   8.42            0.90         0.95     0.93             0.86             0.75          0.33          0.15  0.61   0.72
HECodemixedFemale40   26.38  49.73            0.61         0.84     0.71             0.18             0.16          0.92          0.36  0.13   0.18
HECodemixedFemale41   16.94  28.22            0.73         0.90     0.81             0.56             0.39          0.75          0.20  0.36   0.45
HECodemixedFemale42   21.94  45.98            0.65         0.84     0.74             0.19             0.17          0.85          0.38  0.12   0.17
HECodemixedFemale43    6.30  15.90            0.88         0.95     0.92             0.72             0.55          0.38          0.11  0.34   0.60
HECodemixedFemale44   21.92  32.02            0.68         0.79     0.73             0.51             0.42          0.79          0.44  0.45   0.42
HECodemixedFemale45   10.92   8.24            0.83         0.98     0.90             0.96             0.66          0.46          0.05  0.77   0.77
HECodemixedFemale46   23.64  36.92            0.68         0.73     0.71             0.41             0.37          0.73          0.54  0.39   0.38
HECodemixedFemale47   30.28  46.41            0.60         0.72     0.65             0.26             0.23          0.91          0.60  0.22   0.23
HECodemixedFemale48    6.83   9.78            0.88         0.94     0.91             0.85             0.73          0.40          0.14  0.68   0.72
HECodemixedFemale49   45.31  71.12            0.46         1.00     0.63             1.00             0.00          1.25          0.00  0.00   0.00
HECodemixedFemale5    26.78  50.76            0.60         0.80     0.69             0.12             0.10          0.92          0.49  0.08   0.10
HECodemixedFemale50   14.19  26.51            0.76         0.81     0.78             0.50             0.45          0.67          0.47  0.35   0.38
HECodemixedFemale51    7.28  13.82            0.87         0.92     0.90             0.82             0.71          0.38          0.23  0.65   0.68
HECodemixedFemale52   27.27  54.54            0.60         0.88     0.71             0.10             0.09          0.93          0.31  0.07   0.11
HECodemixedFemale53   20.41  29.94            0.71         0.78     0.75             0.54             0.46          0.71          0.46  0.50   0.47
HECodemixedFemale54   16.07  27.89            0.73         0.79     0.76             0.53             0.45          0.68          0.50  0.41   0.41
HECodemixedFemale55   30.86  65.13            0.57         1.00     0.72             1.00             0.00          0.99          0.00  0.00   0.00
HECodemixedFemale56   36.77  51.55            0.60         0.63     0.61             0.20             0.17          0.94          0.78  0.17   0.16
HECodemixedFemale57   20.38  33.57            0.69         0.81     0.74             0.51             0.39          0.74          0.39  0.44   0.44
HECodemixedFemale58   43.63  58.50            0.50         0.57     0.53             0.10             0.05          1.08          0.89  0.08   0.08
HECodemixedFemale59   47.00  71.91            0.46         1.00     0.63             1.00             0.00          1.26          0.00  0.00   0.00
HECodemixedFemale6    38.40  55.34            0.56         0.86     0.68             0.55             0.20          0.92          0.30  0.39   0.41
HECodemixedFemale60   25.89  62.44            0.61         1.00     0.76             1.00             0.00          0.96          0.00  0.00   0.00
HECodemixedFemale61   45.13  64.48            0.49         0.69     0.57             0.10             0.01          1.07          0.71  0.06   0.07
HECodemixedFemale62   40.31  59.35            0.50         0.75     0.60             0.08             0.06          1.13          0.58  0.06   0.07
HECodemixedFemale63    8.32   7.77            0.86         0.96     0.91             0.92             0.75          0.39          0.08  0.92   0.81
HECodemixedFemale64   24.10  52.40            0.65         0.88     0.75             0.37             0.12          0.80          0.31  0.17   0.25
HECodemixedFemale65   41.12  69.06            0.48         1.00     0.65             1.00             0.00          1.23          0.00  0.00   0.00
HECodemixedFemale66   35.39  51.04            0.57         0.69     0.62             0.20             0.18          1.00          0.66  0.16   0.17
HECodemixedFemale67   37.42  57.79            0.55         0.82     0.66             0.16             0.15          0.99          0.38  0.15   0.19
HECodemixedFemale68   38.61  57.92            0.53         0.78     0.63             0.23             0.11          0.98          0.50  0.16   0.18
HECodemixedFemale69    8.10  15.59            0.86         0.94     0.90             0.74             0.58          0.45          0.13  0.44   0.61
HECodemixedFemale7    19.47  33.16            0.69         0.76     0.72             0.40             0.37          0.80          0.54  0.30   0.31
HECodemixedFemale70   13.25  29.35            0.77         0.89     0.83             0.50             0.43          0.62          0.23  0.33   0.45
HECodemixedFemale71   58.52  76.68            0.42         1.00     0.59             1.00             0.00          1.34          0.00  0.00   0.00
HECodemixedFemale72   42.71  65.23            0.51         0.90     0.65             0.08             0.07          1.11          0.24  0.07   0.12
HECodemixedFemale73   37.32  53.06            0.57         0.75     0.65             0.23             0.20          0.97          0.51  0.23   0.24
HECodemixedFemale74   16.77  32.99            0.73         0.84     0.78             0.44             0.41          0.68          0.31  0.34   0.42
HECodemixedFemale75   31.67  53.15            0.58         0.69     0.63             0.14             0.07          0.94          0.70  0.09   0.10
HECodemixedFemale76   18.41  29.45            0.70         0.77     0.73             0.46             0.41          0.81          0.54  0.35   0.35
HECodemixedFemale77   26.61  55.61            0.61         0.91     0.73             0.09             0.08          0.93          0.24  0.06   0.11
HECodemixedFemale78   15.08  22.89            0.76         0.81     0.79             0.62             0.55          0.62          0.42  0.57   0.52
HECodemixedFemale79    8.39  13.07            0.86         0.93     0.89             0.85             0.72          0.37          0.21  0.76   0.72
HECodemixedFemale8    39.12  57.63            0.51         0.87     0.65             0.17             0.12          1.17          0.28  0.14   0.19
HECodemixedFemale80   12.77  18.07            0.82         0.92     0.87             0.84             0.64          0.46          0.22  0.75   0.69
HECodemixedFemale81    8.42  18.32            0.85         0.91     0.88             0.68             0.61          0.45          0.20  0.47   0.60
HECodemixedFemale82   29.28  64.32            0.58         1.00     0.73             1.00             0.00          0.97          0.00  0.00   0.00
HECodemixedFemale83    8.13  15.32            0.85         0.92     0.89             0.74             0.64          0.45          0.17  0.52   0.63
HECodemixedFemale84   18.18  34.43            0.70         0.79     0.75             0.43             0.35          0.72          0.48  0.31   0.34
HECodemixedFemale85   27.79  62.94            0.59         1.00     0.74             1.00             0.00          1.04          0.00  0.00   0.00
