File                    DER    JER    B3-Precision    B3-Recall    B3-F1    GKT(ref, sys)    GKT(sys, ref)    H(ref|sys)    H(sys|ref)    MI    NMI
--------------------  -----  -----  --------------  -----------  -------  ---------------  ---------------  ------------  ------------  ----  -----
HECodemixedFemale130  35.85  50.53            0.62         0.69     0.66             0.27             0.24          0.85          0.61  0.26   0.27
HECodemixedFemale131  38.64  53.71            0.54         0.63     0.58             0.18             0.11          1.02          0.79  0.14   0.14
HECodemixedFemale132  11.04  15.66            0.81         0.92     0.86             0.77             0.60          0.55          0.18  0.58   0.62
HECodemixedFemale133  33.72  66.50            0.54         1.00     0.71             1.00             0.00          1.03          0.00  0.00   0.00
HECodemixedFemale134  34.39  62.61            0.54         0.94     0.69             0.06             0.06          1.05          0.15  0.05   0.11
HECodemixedFemale135  19.81  35.69            0.69         0.79     0.74             0.38             0.35          0.78          0.46  0.28   0.32
HECodemixedFemale136  20.59  38.57            0.68         0.76     0.72             0.35             0.27          0.77          0.56  0.24   0.27
HECodemixedFemale137  29.23  46.50            0.61         0.77     0.68             0.27             0.25          0.90          0.46  0.25   0.28
HECodemixedFemale138  25.23  50.57            0.62         0.85     0.72             0.15             0.13          0.91          0.35  0.10   0.14
HECodemixedFemale139  34.27  52.13            0.58         0.79     0.67             0.23             0.20          0.96          0.44  0.21   0.24
HECodemixedFemale140  26.15  62.74            0.61         1.00     0.76             1.00             0.00          0.94          0.00  0.00   0.00
HECodemixedFemale141  31.20  51.61            0.57         0.73     0.64             0.19             0.11          0.95          0.62  0.13   0.15
HECodemixedFemale142  15.86  15.19            0.77         0.94     0.85             0.87             0.61          0.60          0.16  0.78   0.69
HECodemixedFemale143  19.40  38.06            0.68         0.80     0.74             0.31             0.27          0.80          0.47  0.20   0.25
HECodemixedFemale144  21.55  43.84            0.67         0.87     0.75             0.28             0.25          0.82          0.27  0.21   0.30
HECodemixedFemale145  22.82  60.94            0.64         1.00     0.78             1.00             0.00          0.91          0.00  0.00   0.00
HECodemixedFemale146  11.28  17.97            0.84         0.92     0.88             0.83             0.65          0.41          0.22  0.71   0.70
