File                    DER    JER    B3-Precision    B3-Recall    B3-F1    GKT(ref, sys)    GKT(sys, ref)    H(ref|sys)    H(sys|ref)    MI    NMI
--------------------  -----  -----  --------------  -----------  -------  ---------------  ---------------  ------------  ------------  ----  -----
HECodemixedFemale388  15.43  27.85            0.74         0.83     0.78             0.50             0.44          0.72          0.39  0.36   0.40
HECodemixedFemale389  26.61  41.15            0.61         0.69     0.65             0.31             0.25          0.90          0.69  0.24   0.23
HECodemixedFemale390   9.76  16.07            0.83         0.88     0.85             0.72             0.66          0.49          0.28  0.63   0.62
HECodemixedFemale391  11.93  10.91            0.81         0.95     0.88             0.90             0.68          0.48          0.10  0.90   0.77
HECodemixedFemale392  10.92  13.66            0.82         0.93     0.87             0.82             0.64          0.53          0.18  0.67   0.66
HECodemixedFemale393  44.44  69.41            0.53         0.86     0.66             0.29             0.05          1.03          0.35  0.15   0.19
HECodemixedFemale394  12.26  28.56            0.79         0.88     0.83             0.48             0.42          0.61          0.29  0.29   0.40
HECodemixedFemale395  24.27  43.85            0.64         0.77     0.70             0.21             0.16          0.92          0.53  0.13   0.16
HECodemixedFemale396  41.57  62.34            0.50         0.72     0.59             0.03             0.02          1.09          0.64  0.02   0.02
HECodemixedFemale397  36.96  67.21            0.51         1.00     0.68             1.00             0.00          1.17          0.00  0.00   0.00
HECodemixedFemale398  27.03  58.15            0.60         0.96     0.74             0.08             0.06          0.99          0.11  0.05   0.12
HECodemixedFemale399   8.26  16.72            0.85         0.94     0.89             0.72             0.56          0.46          0.13  0.40   0.59
HECodemixedFemale400  22.88  42.45            0.67         0.80     0.73             0.40             0.24          0.80          0.47  0.27   0.31
HECodemixedFemale401   9.67  17.77            0.83         0.89     0.86             0.69             0.61          0.51          0.23  0.53   0.59
HECodemixedFemale402  20.27  37.73            0.68         0.82     0.75             0.40             0.34          0.75          0.36  0.33   0.38
HECodemixedFemale403  41.16  51.49            0.54         0.76     0.63             0.29             0.21          1.10          0.48  0.27   0.27
HECodemixedFemale404   7.95  11.92            0.86         0.93     0.89             0.82             0.68          0.44          0.16  0.64   0.69
HECodemixedFemale405  30.68  52.84            0.58         0.83     0.69             0.18             0.16          0.95          0.37  0.14   0.19
HECodemixedFemale406  14.80  30.00            0.75         0.85     0.80             0.48             0.44          0.65          0.30  0.36   0.44
HECodemixedFemale407   6.74   6.32            0.88         0.97     0.93             0.94             0.76          0.34          0.06  0.82   0.81
HECodemixedFemale408   9.45  17.72            0.83         0.91     0.87             0.70             0.61          0.49          0.21  0.51   0.60
HECodemixedFemale409  18.14  23.36            0.73         0.86     0.79             0.67             0.51          0.72          0.30  0.58   0.54
HECodemixedFemale410  49.54  61.38            0.59         0.68     0.63             0.19             0.14          0.96          0.65  0.19   0.20
HECodemixedFemale411  29.26  46.50            0.59         0.77     0.67             0.34             0.22          0.92          0.50  0.26   0.27
HECodemixedFemale412  46.80  61.55            0.55         0.72     0.62             0.19             0.12          0.98          0.58  0.18   0.19
HECodemixedFemale413  22.27  44.01            0.65         0.83     0.73             0.24             0.21          0.88          0.39  0.16   0.21
HECodemixedFemale414  32.24  65.51            0.55         1.00     0.71             1.00             0.00          1.06          0.00  0.00   0.00
HECodemixedFemale415  32.03  51.41            0.58         0.80     0.68             0.31             0.19          0.88          0.41  0.25   0.29
HECodemixedFemale416  26.19  47.10            0.62         0.84     0.72             0.26             0.23          0.90          0.32  0.21   0.27
HECodemixedFemale417   6.51  12.28            0.88         0.92     0.90             0.82             0.74          0.35          0.25  0.66   0.69
HECodemixedFemale418  11.15  30.34            0.81         0.94     0.87             0.47             0.33          0.58          0.12  0.21   0.41
HECodemixedFemale419  31.06  49.29            0.60         0.79     0.68             0.25             0.23          0.90          0.43  0.23   0.26
HECodemixedFemale420  12.44  20.67            0.79         0.87     0.83             0.66             0.58          0.58          0.28  0.54   0.57
HECodemixedFemale421  41.04  61.03            0.54         0.83     0.65             0.13             0.12          1.03          0.37  0.13   0.17
HECodemixedFemale422  26.12  44.64            0.62         0.79     0.69             0.34             0.24          0.85          0.47  0.26   0.29
HECodemixedFemale423  28.72  51.06            0.60         0.86     0.71             0.39             0.18          0.86          0.29  0.27   0.33
HECodemixedFemale424   9.05  15.45            0.84         0.89     0.87             0.74             0.65          0.50          0.27  0.59   0.61
HECodemixedFemale425  34.72  50.52            0.61         0.72     0.66             0.26             0.23          0.88          0.55  0.25   0.26
HECodemixedFemale426  26.42  44.23            0.63         0.79     0.70             0.29             0.26          0.89          0.44  0.24   0.27
HECodemixedFemale427  16.09  28.28            0.73         0.83     0.78             0.51             0.45          0.71          0.37  0.41   0.44
HECodemixedFemale428  38.55  53.23            0.67         0.61     0.64             0.21             0.15          0.79          0.80  0.20   0.20
HECodemixedFemale429  11.36  20.83            0.80         0.88     0.84             0.65             0.58          0.55          0.26  0.51   0.56
HECodemixedFemale430   8.72   8.73            0.85         0.97     0.91             0.91             0.69          0.43          0.10  0.73   0.75
HECodemixedFemale431  10.19   9.63            0.83         0.95     0.89             0.91             0.71          0.44          0.09  0.89   0.78
HECodemixedFemale432   7.05   6.53            0.88         0.97     0.92             0.94             0.78          0.35          0.06  0.94   0.83
HECodemixedFemale433  24.48  45.84            0.63         0.83     0.72             0.24             0.22          0.87          0.38  0.18   0.23
HECodemixedFemale434  55.89  71.20            0.48         0.85     0.61             0.05             0.04          1.21          0.39  0.04   0.06
HECodemixedFemale435  51.10  74.63            0.47         1.00     0.64             1.00             0.00          1.19          0.00  0.00   0.00
HECodemixedFemale436  16.48  34.49            0.73         0.87     0.79             0.42             0.37          0.70          0.27  0.30   0.40
HECodemixedFemale437   4.31   4.24            0.92         0.99     0.95             0.96             0.76          0.25          0.03  0.61   0.82
HECodemixedFemale438  28.56  49.13            0.59         0.79     0.68             0.19             0.17          0.95          0.49  0.13   0.16
HECodemixedFemale439  21.06  20.68            0.71         0.91     0.80             0.78             0.49          0.76          0.20  0.62   0.58
HECodemixedFemale440  27.72  47.31            0.60         0.80     0.68             0.22             0.19          0.96          0.46  0.16   0.19
HECodemixedFemale441  27.47  40.80            0.61         0.72     0.66             0.37             0.28          0.89          0.61  0.31   0.29
HECodemixedFemale442  20.11  59.79            0.68         1.00     0.81             1.00             0.00          0.83          0.00  0.00   0.00
HECodemixedFemale443  27.97  42.32            0.63         0.75     0.68             0.34             0.30          0.88          0.53  0.30   0.30
