File                    DER    JER    B3-Precision    B3-Recall    B3-F1    GKT(ref, sys)    GKT(sys, ref)    H(ref|sys)    H(sys|ref)    MI    NMI
--------------------  -----  -----  --------------  -----------  -------  ---------------  ---------------  ------------  ------------  ----  -----
HECodemixedFemale775  45.31  72.04            0.48         1.00     0.65             1.00             0.00          1.14          0.00  0.00   0.00
HECodemixedFemale776  16.31  28.45            0.73         0.81     0.77             0.55             0.47          0.66          0.41  0.46   0.46
HECodemixedFemale777  18.84  42.11            0.70         0.88     0.78             0.43             0.27          0.70          0.25  0.28   0.39
HECodemixedFemale778  13.32  33.20            0.77         0.92     0.84             0.43             0.33          0.65          0.17  0.23   0.39
HECodemixedFemale779  44.71  71.13            0.47         1.00     0.64             1.00             0.00          1.22          0.00  0.00   0.00
HECodemixedFemale780  51.63  73.24            0.43         1.00     0.60             1.00             0.00          1.34          0.00  0.00   0.00
HECodemixedFemale781  41.97  57.46            0.54         0.78     0.64             0.19             0.16          1.07          0.46  0.18   0.21
HECodemixedFemale782  22.88  61.10            0.64         1.00     0.78             1.00             0.00          0.89          0.00  0.00   0.00
HECodemixedFemale783  11.68  16.91            0.81         0.91     0.86             0.75             0.57          0.56          0.20  0.56   0.61
HECodemixedFemale784  42.43  53.77            0.56         0.66     0.61             0.23             0.17          1.01          0.68  0.23   0.22
HECodemixedFemale785  28.85  53.19            0.59         0.89     0.71             0.17             0.14          0.99          0.23  0.13   0.20
HECodemixedFemale786  22.86  45.39            0.65         0.85     0.74             0.26             0.23          0.84          0.30  0.21   0.28
HECodemixedFemale787  53.06  68.27            0.55         0.74     0.63             0.09             0.07          1.01          0.57  0.09   0.10
HECodemixedFemale788  12.78  18.66            0.79         0.87     0.83             0.71             0.61          0.58          0.31  0.63   0.59
HECodemixedFemale789  20.76  32.73            0.69         0.79     0.74             0.47             0.42          0.76          0.43  0.42   0.42
HECodemixedFemale790  20.35  35.45            0.68         0.80     0.73             0.39             0.33          0.83          0.46  0.28   0.31
HECodemixedFemale791  29.41  49.67            0.60         0.83     0.70             0.24             0.21          0.93          0.36  0.20   0.25
HECodemixedFemale792  10.80  14.23            0.82         0.91     0.86             0.80             0.66          0.51          0.22  0.71   0.67
HECodemixedFemale793  15.09  20.65            0.76         0.85     0.80             0.69             0.56          0.66          0.38  0.60   0.54
HECodemixedFemale794  53.43  70.73            0.54         0.77     0.64             0.09             0.07          1.07          0.52  0.09   0.11
HECodemixedFemale795  27.99  46.55            0.61         0.80     0.69             0.32             0.24          0.86          0.41  0.27   0.31
HECodemixedFemale796  33.99  58.73            0.55         0.89     0.68             0.12             0.11          1.02          0.25  0.10   0.15
HECodemixedFemale797  23.45  47.71            0.65         0.87     0.74             0.34             0.21          0.80          0.27  0.22   0.32
HECodemixedFemale798  38.56  68.79            0.51         1.00     0.68             1.00             0.00          1.09          0.00  0.00   0.00
HECodemixedFemale799  28.55  43.96            0.62         0.77     0.69             0.33             0.29          0.88          0.46  0.30   0.32
HECodemixedFemale800   7.97  18.39            0.86         0.95     0.90             0.69             0.50          0.45          0.10  0.32   0.56
HECodemixedFemale801  36.11  65.40            0.53         0.97     0.69             0.03             0.03          1.05          0.10  0.03   0.07
HECodemixedFemale802  10.39  21.26            0.81         0.87     0.84             0.60             0.54          0.55          0.33  0.40   0.48
HECodemixedFemale803  37.92  68.14            0.51         1.00     0.68             1.00             0.00          1.13          0.00  0.00   0.00
HECodemixedFemale804  11.16  22.23            0.81         0.92     0.86             0.63             0.48          0.57          0.17  0.38   0.52
HECodemixedFemale805  18.64  33.60            0.70         0.78     0.74             0.39             0.35          0.79          0.51  0.28   0.31
HECodemixedFemale806  14.24  24.51            0.76         0.84     0.80             0.58             0.52          0.65          0.35  0.46   0.48
HECodemixedFemale807  40.53  68.74            0.49         1.00     0.65             1.00             0.00          1.22          0.00  0.00   0.00
HECodemixedFemale808  25.17  48.28            0.62         0.83     0.71             0.19             0.17          0.89          0.40  0.13   0.17
HECodemixedFemale809  28.73  45.39            0.61         0.79     0.69             0.30             0.26          0.91          0.42  0.27   0.30
HECodemixedFemale810   5.04  10.78            0.91         0.96     0.94             0.86             0.70          0.27          0.11  0.52   0.74
HECodemixedFemale811  27.09  40.34            0.68         0.71     0.69             0.38             0.34          0.73          0.60  0.37   0.36
HECodemixedFemale812  22.52  41.85            0.66         0.82     0.73             0.31             0.29          0.80          0.36  0.26   0.32
HECodemixedFemale813  17.60  26.87            0.73         0.78     0.76             0.55             0.50          0.67          0.47  0.51   0.47
HECodemixedFemale814   8.34  15.76            0.88         0.97     0.92             0.91             0.70          0.29          0.12  0.72   0.78
HECodemixedFemale815   4.04   7.61            0.92         0.96     0.94             0.87             0.77          0.27          0.09  0.56   0.76
HECodemixedFemale816  44.43  61.46            0.51         0.83     0.63             0.14             0.12          1.14          0.37  0.13   0.17
HECodemixedFemale817   8.79  21.95            0.84         0.89     0.87             0.57             0.48          0.47          0.29  0.31   0.46
HECodemixedFemale818   7.34  13.05            0.87         0.91     0.89             0.77             0.67          0.40          0.27  0.56   0.63
HECodemixedFemale819   6.87  21.12            0.90         0.95     0.92             0.80             0.62          0.29          0.16  0.46   0.68
HECodemixedFemale820  24.07  34.96            0.65         0.76     0.70             0.48             0.37          0.81          0.49  0.44   0.41
