File                    DER    JER    B3-Precision    B3-Recall    B3-F1    GKT(ref, sys)    GKT(sys, ref)    H(ref|sys)    H(sys|ref)    MI    NMI
--------------------  -----  -----  --------------  -----------  -------  ---------------  ---------------  ------------  ------------  ----  -----
HECodemixedFemale646  25.56  41.16            0.64         0.75     0.69             0.33             0.31          0.83          0.54  0.28   0.29
HECodemixedFemale647   7.72   7.36            0.87         0.97     0.91             0.93             0.76          0.37          0.07  0.93   0.82
HECodemixedFemale648  17.70  27.02            0.72         0.79     0.75             0.53             0.47          0.76          0.50  0.44   0.42
HECodemixedFemale649  11.68  15.67            0.80         0.93     0.86             0.78             0.58          0.57          0.17  0.57   0.62
HECodemixedFemale650  23.82  35.56            0.65         0.82     0.73             0.46             0.36          0.87          0.37  0.38   0.39
HECodemixedFemale651  12.61  19.35            0.79         0.85     0.82             0.69             0.60          0.58          0.33  0.62   0.58
HECodemixedFemale652  16.49  30.79            0.73         0.81     0.77             0.49             0.43          0.68          0.41  0.38   0.41
HECodemixedFemale653  21.02  37.66            0.67         0.78     0.72             0.40             0.32          0.78          0.48  0.30   0.33
HECodemixedFemale654   5.98   7.35            0.89         0.96     0.92             0.91             0.79          0.33          0.12  0.82   0.79
HECodemixedFemale655  23.41  41.91            0.64         0.79     0.71             0.28             0.26          0.86          0.47  0.21   0.24
HECodemixedFemale656   9.50  19.11            0.83         0.88     0.85             0.66             0.60          0.51          0.30  0.49   0.55
HECodemixedFemale657   7.61   7.78            0.87         0.97     0.92             0.93             0.76          0.36          0.07  0.89   0.81
HECodemixedFemale658  33.21  59.33            0.55         0.91     0.68             0.12             0.07          1.09          0.21  0.09   0.15
HECodemixedFemale659  11.78  25.20            0.80         0.86     0.83             0.60             0.51          0.55          0.34  0.42   0.49
HECodemixedFemale660  11.52  11.61            0.81         0.95     0.87             0.89             0.65          0.51          0.17  0.75   0.70
HECodemixedFemale661   8.13  12.05            0.88         0.98     0.92             0.94             0.72          0.31          0.05  0.79   0.82
HECodemixedFemale662  21.23  36.69            0.67         0.82     0.74             0.43             0.34          0.81          0.36  0.35   0.39
HECodemixedFemale663   8.58  24.19            0.84         0.94     0.89             0.57             0.46          0.48          0.13  0.28   0.50
HECodemixedFemale664  46.92  64.86            0.52         0.82     0.64             0.11             0.10          1.06          0.40  0.11   0.15
HECodemixedFemale665  28.56  49.37            0.60         0.82     0.70             0.22             0.20          0.92          0.39  0.18   0.23
HECodemixedFemale666  12.81  24.41            0.78         0.83     0.80             0.55             0.51          0.62          0.40  0.41   0.45
