File                    DER    JER    B3-Precision    B3-Recall    B3-F1    GKT(ref, sys)    GKT(sys, ref)    H(ref|sys)    H(sys|ref)    MI    NMI
--------------------  -----  -----  --------------  -----------  -------  ---------------  ---------------  ------------  ------------  ----  -----
HECodemixedFemale388  34.39  66.53            0.54         1.00     0.70             1.00             0.00          1.08          0.00  0.00   0.00
HECodemixedFemale389  49.10  73.94            0.48         1.00     0.65             1.00             0.00          1.14          0.00  0.00   0.00
HECodemixedFemale390  33.99  55.49            0.55         0.79     0.65             0.13             0.10          1.03          0.49  0.10   0.12
HECodemixedFemale391  11.93  10.91            0.81         0.95     0.88             0.90             0.68          0.48          0.10  0.90   0.77
HECodemixedFemale392  24.03  39.66            0.64         0.85     0.73             0.38             0.30          0.90          0.31  0.29   0.34
HECodemixedFemale393  41.89  69.63            0.52         0.93     0.66             0.02             0.02          1.15          0.21  0.03   0.05
HECodemixedFemale394  12.29  28.49            0.78         0.87     0.83             0.47             0.42          0.61          0.31  0.28   0.39
HECodemixedFemale395  30.18  64.39            0.57         1.00     0.72             1.00             0.00          1.05          0.00  0.00   0.00
HECodemixedFemale396  44.09  71.55            0.49         1.00     0.66             1.00             0.00          1.11          0.00  0.00   0.00
HECodemixedFemale397  21.22  35.19            0.68         0.86     0.76             0.45             0.34          0.85          0.28  0.32   0.39
HECodemixedFemale398  29.50  64.05            0.57         1.00     0.73             1.00             0.00          1.04          0.00  0.00   0.00
HECodemixedFemale399  13.79  36.17            0.76         0.92     0.83             0.36             0.29          0.67          0.17  0.20   0.35
HECodemixedFemale400  23.66  47.79            0.64         0.90     0.75             0.23             0.18          0.91          0.21  0.15   0.25
HECodemixedFemale401  21.33  43.84            0.67         0.86     0.75             0.33             0.24          0.80          0.28  0.24   0.32
HECodemixedFemale402  30.67  55.42            0.57         0.86     0.69             0.12             0.11          0.98          0.33  0.09   0.13
HECodemixedFemale403  54.88  67.95            0.46         0.86     0.60             0.10             0.07          1.27          0.33  0.10   0.13
HECodemixedFemale404  17.55  33.13            0.71         0.86     0.78             0.44             0.36          0.77          0.28  0.31   0.39
HECodemixedFemale405  34.58  59.52            0.55         0.89     0.68             0.11             0.10          1.00          0.25  0.10   0.16
HECodemixedFemale406  32.00  65.67            0.56         1.00     0.72             1.00             0.00          1.01          0.00  0.00   0.00
HECodemixedFemale407  36.54  67.10            0.51         1.00     0.68             1.00             0.00          1.16          0.00  0.00   0.00
HECodemixedFemale408  18.50  39.01            0.70         0.87     0.78             0.35             0.30          0.76          0.26  0.24   0.34
HECodemixedFemale409  35.19  50.47            0.55         0.82     0.66             0.26             0.20          1.08          0.37  0.22   0.25
HECodemixedFemale410  56.49  67.84            0.56         0.68     0.61             0.11             0.08          1.03          0.66  0.12   0.13
HECodemixedFemale411  31.20  50.00            0.58         0.81     0.67             0.23             0.20          0.99          0.42  0.18   0.22
HECodemixedFemale412  53.30  68.37            0.53         0.78     0.63             0.09             0.08          1.06          0.49  0.10   0.12
HECodemixedFemale413  22.74  46.36            0.65         0.88     0.75             0.25             0.21          0.86          0.24  0.18   0.27
HECodemixedFemale414  32.24  65.51            0.55         1.00     0.71             1.00             0.00          1.06          0.00  0.00   0.00
HECodemixedFemale415  37.98  59.85            0.54         0.86     0.66             0.29             0.11          0.94          0.33  0.18   0.24
HECodemixedFemale416  38.48  68.67            0.51         1.00     0.68             1.00             0.00          1.10          0.00  0.00   0.00
HECodemixedFemale417  21.49  43.01            0.66         0.84     0.74             0.36             0.25          0.77          0.37  0.24   0.31
HECodemixedFemale418  17.43  58.30            0.71         1.00     0.83             1.00             0.00          0.79          0.00  0.00   0.00
HECodemixedFemale419  41.23  62.67            0.52         0.83     0.64             0.08             0.07          1.07          0.42  0.06   0.08
HECodemixedFemale420  15.03  25.66            0.75         0.85     0.80             0.58             0.50          0.65          0.31  0.47   0.50
HECodemixedFemale421  50.97  73.73            0.48         0.97     0.64             0.01             0.01          1.14          0.09  0.01   0.04
HECodemixedFemale422  29.61  50.99            0.59         0.82     0.69             0.23             0.19          0.91          0.37  0.19   0.25
HECodemixedFemale423  38.71  68.69            0.51         1.00     0.67             1.00             0.00          1.12          0.00  0.00   0.00
HECodemixedFemale424  28.19  53.83            0.60         0.90     0.72             0.16             0.14          0.97          0.22  0.12   0.19
HECodemixedFemale425  51.60  69.92            0.51         0.84     0.64             0.06             0.05          1.07          0.39  0.05   0.08
HECodemixedFemale426  36.96  60.76            0.54         0.88     0.66             0.10             0.09          1.04          0.31  0.08   0.12
HECodemixedFemale427  32.68  59.11            0.56         0.92     0.69             0.11             0.09          1.04          0.20  0.08   0.15
HECodemixedFemale428  50.75  63.28            0.67         0.62     0.64             0.17             0.13          0.82          0.76  0.18   0.19
HECodemixedFemale429  21.09  41.27            0.67         0.84     0.75             0.38             0.29          0.76          0.32  0.29   0.36
HECodemixedFemale430  13.82  20.07            0.77         0.90     0.83             0.70             0.53          0.64          0.22  0.52   0.56
HECodemixedFemale431  25.46  35.06            0.64         0.80     0.71             0.53             0.36          0.86          0.42  0.48   0.44
HECodemixedFemale432  51.85  69.16            0.47         0.87     0.61             0.18             0.06          1.17          0.32  0.12   0.16
HECodemixedFemale433  35.08  65.87            0.54         0.98     0.69             0.02             0.02          1.03          0.06  0.02   0.05
HECodemixedFemale434  52.05  72.41            0.46         0.86     0.60             0.01             0.00          1.24          0.37  0.01   0.01
HECodemixedFemale435  35.41  53.51            0.57         0.80     0.66             0.21             0.19          0.99          0.42  0.20   0.23
HECodemixedFemale436  17.16  36.04            0.72         0.87     0.79             0.39             0.35          0.72          0.27  0.28   0.38
HECodemixedFemale437  12.19  31.01            0.79         0.92     0.85             0.47             0.35          0.62          0.15  0.24   0.41
HECodemixedFemale438  31.48  54.80            0.57         0.84     0.68             0.13             0.12          0.99          0.38  0.10   0.14
HECodemixedFemale439  50.82  72.03            0.43         1.00     0.60             1.00             0.00          1.38          0.00  0.00   0.00
HECodemixedFemale440  31.17  54.75            0.58         0.87     0.69             0.17             0.14          0.99          0.28  0.13   0.20
HECodemixedFemale441  32.19  47.10            0.58         0.72     0.64             0.32             0.21          0.93          0.60  0.27   0.26
HECodemixedFemale442  20.11  59.79            0.68         1.00     0.81             1.00             0.00          0.83          0.00  0.00   0.00
HECodemixedFemale443  39.19  56.62            0.53         0.74     0.62             0.14             0.12          1.06          0.58  0.11   0.12
HECodemixedFemale444  27.48  45.54            0.62         0.79     0.69             0.36             0.25          0.83          0.43  0.29   0.32
HECodemixedFemale445  43.61  64.83            0.48         0.92     0.63             0.08             0.06          1.22          0.21  0.07   0.12
HECodemixedFemale446  14.91  29.53            0.75         0.84     0.79             0.47             0.43          0.69          0.36  0.33   0.40
HECodemixedFemale447  23.12  39.75            0.65         0.80     0.72             0.33             0.28          0.88          0.44  0.24   0.28
HECodemixedFemale448  28.86  55.87            0.59         0.91     0.72             0.13             0.11          0.97          0.21  0.10   0.17
HECodemixedFemale449  18.02  40.39            0.71         0.91     0.79             0.33             0.25          0.79          0.19  0.20   0.32
HECodemixedFemale450  53.12  69.91            0.55         0.76     0.63             0.09             0.07          1.04          0.53  0.10   0.11
HECodemixedFemale451  42.10  70.55            0.50         1.00     0.66             1.00             0.00          1.11          0.00  0.00   0.00
HECodemixedFemale452  31.16  44.86            0.58         0.83     0.68             0.34             0.24          1.03          0.35  0.27   0.30
HECodemixedFemale453  16.63  29.77            0.72         0.81     0.77             0.46             0.39          0.74          0.44  0.32   0.36
HECodemixedFemale454   9.96  10.77            0.84         0.95     0.89             0.91             0.71          0.44          0.13  0.86   0.76
HECodemixedFemale455  52.92  75.42            0.46         1.00     0.63             1.00             0.00          1.20          0.00  0.00   0.00
HECodemixedFemale456  42.89  67.99            0.56         0.87     0.68             0.41             0.08          0.95          0.35  0.21   0.26
HECodemixedFemale457  37.60  55.83            0.52         0.78     0.62             0.13             0.10          1.13          0.51  0.10   0.11
HECodemixedFemale458  31.65  65.23            0.56         1.00     0.72             1.00             0.00          1.05          0.00  0.00   0.00
