File                    DER    JER    B3-Precision    B3-Recall    B3-F1    GKT(ref, sys)    GKT(sys, ref)    H(ref|sys)    H(sys|ref)    MI    NMI
--------------------  -----  -----  --------------  -----------  -------  ---------------  ---------------  ------------  ------------  ----  -----
HECodemixedFemale646  39.15  59.93            0.53         0.80     0.64             0.10             0.09          1.03          0.47  0.08   0.10
HECodemixedFemale647  24.25  33.76            0.66         0.81     0.72             0.50             0.39          0.86          0.39  0.43   0.42
HECodemixedFemale648  35.86  53.09            0.54         0.75     0.63             0.17             0.14          1.06          0.57  0.13   0.15
HECodemixedFemale649  22.13  39.69            0.66         0.88     0.75             0.37             0.28          0.88          0.25  0.25   0.33
HECodemixedFemale650  46.67  71.82            0.46         1.00     0.63             1.00             0.00          1.25          0.00  0.00   0.00
HECodemixedFemale651  37.23  57.53            0.54         0.84     0.66             0.16             0.14          1.05          0.34  0.14   0.19
HECodemixedFemale652  23.96  44.86            0.64         0.83     0.72             0.30             0.25          0.82          0.35  0.24   0.30
HECodemixedFemale653  38.00  68.56            0.52         1.00     0.68             1.00             0.00          1.08          0.00  0.00   0.00
HECodemixedFemale654  16.16  26.24            0.74         0.84     0.79             0.57             0.50          0.67          0.34  0.49   0.50
HECodemixedFemale655  37.66  68.44            0.52         1.00     0.68             1.00             0.00          1.07          0.00  0.00   0.00
HECodemixedFemale656  13.80  28.40            0.77         0.86     0.81             0.51             0.46          0.62          0.28  0.37   0.46
HECodemixedFemale657  21.48  33.12            0.68         0.83     0.75             0.59             0.40          0.74          0.37  0.50   0.48
HECodemixedFemale658  24.65  41.95            0.63         0.87     0.73             0.34             0.26          0.93          0.27  0.25   0.32
HECodemixedFemale659  28.35  63.85            0.59         1.00     0.74             1.00             0.00          0.97          0.00  0.00   0.00
HECodemixedFemale660  34.56  44.68            0.59         0.70     0.64             0.40             0.23          0.89          0.62  0.37   0.33
HECodemixedFemale661  12.19  20.09            0.80         0.90     0.85             0.71             0.55          0.57          0.22  0.54   0.59
HECodemixedFemale662  16.64  26.81            0.73         0.86     0.79             0.57             0.46          0.72          0.29  0.45   0.48
HECodemixedFemale663  13.72  45.30            0.77         0.94     0.84             0.25             0.18          0.63          0.14  0.13   0.28
HECodemixedFemale664  47.37  65.37            0.52         0.83     0.64             0.11             0.09          1.07          0.39  0.11   0.14
HECodemixedFemale665  41.30  70.20            0.50         1.00     0.67             1.00             0.00          1.10          0.00  0.00   0.00
HECodemixedFemale666  21.98  43.48            0.67         0.85     0.75             0.29             0.27          0.81          0.30  0.22   0.30
