File                    DER    JER    B3-Precision    B3-Recall    B3-F1    GKT(ref, sys)    GKT(sys, ref)    H(ref|sys)    H(sys|ref)    MI    NMI
--------------------  -----  -----  --------------  -----------  -------  ---------------  ---------------  ------------  ------------  ----  -----
HECodemixedFemale259  27.32  43.94            0.62         0.78     0.69             0.30             0.28          0.88          0.45  0.27   0.30
HECodemixedFemale260  28.15  47.70            0.60         0.85     0.70             0.26             0.21          0.97          0.31  0.21   0.27
HECodemixedFemale261  20.12  59.83            0.68         1.00     0.81             1.00             0.00          0.82          0.00  0.00   0.00
HECodemixedFemale262  41.43  64.50            0.52         0.90     0.66             0.08             0.07          1.07          0.25  0.08   0.12
HECodemixedFemale263  20.86  39.60            0.68         0.84     0.75             0.35             0.31          0.79          0.34  0.27   0.33
HECodemixedFemale264  39.61  58.88            0.55         0.80     0.66             0.16             0.14          0.98          0.42  0.15   0.19
HECodemixedFemale265  33.72  66.08            0.54         1.00     0.70             1.00             0.00          1.09          0.00  0.00   0.00
HECodemixedFemale266  14.06  29.93            0.76         0.87     0.81             0.49             0.44          0.63          0.26  0.35   0.45
HECodemixedFemale267  20.26  33.59            0.68         0.75     0.71             0.40             0.36          0.81          0.56  0.30   0.31
HECodemixedFemale268  44.86  71.80            0.48         1.00     0.65             1.00             0.00          1.14          0.00  0.00   0.00
HECodemixedFemale269  45.25  66.54            0.52         0.88     0.65             0.08             0.07          1.05          0.29  0.08   0.12
HECodemixedFemale270  23.15  31.73            0.71         0.79     0.74             0.57             0.44          0.71          0.47  0.53   0.47
HECodemixedFemale271  10.87  22.88            0.81         0.87     0.84             0.61             0.55          0.53          0.26  0.46   0.54
HECodemixedFemale272  40.49  63.57            0.52         0.89     0.66             0.09             0.08          1.08          0.26  0.08   0.13
HECodemixedFemale273  37.09  67.77            0.52         1.00     0.68             1.00             0.00          1.13          0.00  0.00   0.00
HECodemixedFemale274  23.79  50.88            0.63         0.89     0.74             0.14             0.12          0.90          0.29  0.09   0.14
HECodemixedFemale275  48.34  65.77            0.51         0.81     0.63             0.10             0.08          1.08          0.42  0.10   0.13
HECodemixedFemale276  18.63  46.48            0.70         0.91     0.79             0.22             0.19          0.76          0.18  0.14   0.25
HECodemixedFemale277  40.70  69.41            0.49         1.00     0.66             1.00             0.00          1.17          0.00  0.00   0.00
HECodemixedFemale278  24.74  58.84            0.63         0.96     0.76             0.13             0.05          0.88          0.10  0.05   0.14
HECodemixedFemale279  11.96  26.40            0.79         0.87     0.83             0.51             0.47          0.60          0.31  0.33   0.43
HECodemixedFemale280  27.81  41.82            0.61         0.83     0.70             0.37             0.27          0.97          0.34  0.29   0.33
HECodemixedFemale281  15.80  31.52            0.74         0.85     0.79             0.48             0.41          0.67          0.31  0.37   0.44
HECodemixedFemale282  12.94  24.60            0.78         0.87     0.82             0.57             0.48          0.64          0.32  0.38   0.45
HECodemixedFemale283  43.26  66.85            0.56         0.69     0.62             0.03             0.01          1.04          0.70  0.02   0.02
HECodemixedFemale284  29.69  52.24            0.58         0.88     0.70             0.18             0.14          1.04          0.27  0.14   0.20
HECodemixedFemale285   7.13   5.80            0.88         0.98     0.93             0.95             0.72          0.35          0.04  0.76   0.81
HECodemixedFemale286  43.06  70.16            0.49         0.99     0.66             0.01             0.01          1.12          0.05  0.01   0.04
HECodemixedFemale287  35.00  66.73            0.55         0.95     0.70             0.01             0.01          1.04          0.16  0.01   0.02
HECodemixedFemale288  39.56  63.95            0.52         0.91     0.66             0.08             0.07          1.07          0.22  0.07   0.12
