File                    DER    JER    B3-Precision    B3-Recall    B3-F1    GKT(ref, sys)    GKT(sys, ref)    H(ref|sys)    H(sys|ref)    MI    NMI
--------------------  -----  -----  --------------  -----------  -------  ---------------  ---------------  ------------  ------------  ----  -----
HECodemixedFemale775  45.31  72.04            0.48         1.00     0.65             1.00             0.00          1.14          0.00  0.00   0.00
HECodemixedFemale776  19.46  32.63            0.69         0.77     0.73             0.43             0.38          0.79          0.52  0.33   0.34
HECodemixedFemale777  25.43  57.12            0.62         0.95     0.75             0.09             0.08          0.92          0.12  0.06   0.14
HECodemixedFemale778  21.62  60.39            0.66         1.00     0.79             1.00             0.00          0.88          0.00  0.00   0.00
HECodemixedFemale779  44.71  71.13            0.47         1.00     0.64             1.00             0.00          1.22          0.00  0.00   0.00
HECodemixedFemale780  51.63  73.24            0.43         1.00     0.60             1.00             0.00          1.34          0.00  0.00   0.00
HECodemixedFemale781  53.81  71.81            0.47         0.91     0.62             0.05             0.04          1.20          0.23  0.05   0.09
HECodemixedFemale782  22.88  61.10            0.64         1.00     0.78             1.00             0.00          0.89          0.00  0.00   0.00
HECodemixedFemale783  43.51  55.92            0.62         0.61     0.61             0.21             0.15          0.94          0.81  0.18   0.17
HECodemixedFemale784  52.45  63.86            0.54         0.73     0.62             0.16             0.12          1.08          0.55  0.17   0.17
HECodemixedFemale785  36.10  67.21            0.52         1.00     0.69             1.00             0.00          1.12          0.00  0.00   0.00
HECodemixedFemale786  27.24  54.11            0.61         0.90     0.73             0.15             0.13          0.93          0.22  0.11   0.19
HECodemixedFemale787  48.12  73.27            0.55         0.83     0.66             0.07             0.06          1.02          0.41  0.07   0.10
HECodemixedFemale788  41.00  62.16            0.52         0.87     0.65             0.11             0.10          1.11          0.29  0.10   0.15
HECodemixedFemale789  36.45  55.99            0.55         0.80     0.65             0.20             0.15          1.00          0.41  0.18   0.22
HECodemixedFemale790  25.77  46.94            0.63         0.85     0.72             0.26             0.22          0.90          0.30  0.20   0.27
HECodemixedFemale791  36.61  61.21            0.54         0.90     0.67             0.10             0.09          1.04          0.24  0.09   0.14
HECodemixedFemale792  21.05  32.08            0.69         0.82     0.75             0.50             0.41          0.80          0.37  0.42   0.43
HECodemixedFemale793  31.78  45.00            0.59         0.74     0.66             0.31             0.25          0.99          0.54  0.26   0.26
HECodemixedFemale794  44.39  57.41            0.58         0.66     0.62             0.20             0.15          0.96          0.69  0.20   0.20
HECodemixedFemale795  44.65  71.76            0.49         1.00     0.66             1.00             0.00          1.13          0.00  0.00   0.00
HECodemixedFemale796  36.65  61.25            0.52         0.85     0.65             0.07             0.05          1.07          0.38  0.04   0.06
HECodemixedFemale797  24.64  50.09            0.63         0.88     0.73             0.25             0.17          0.85          0.26  0.17   0.26
HECodemixedFemale798  34.13  61.25            0.55         0.92     0.69             0.08             0.07          1.02          0.19  0.07   0.13
HECodemixedFemale799  36.13  54.62            0.56         0.80     0.66             0.20             0.18          0.99          0.42  0.19   0.22
HECodemixedFemale800  17.13  58.18            0.72         1.00     0.83             1.00             0.00          0.78          0.00  0.00   0.00
HECodemixedFemale801  36.11  65.40            0.53         0.97     0.69             0.03             0.03          1.05          0.10  0.03   0.07
HECodemixedFemale802  15.68  35.23            0.74         0.87     0.80             0.39             0.35          0.69          0.26  0.26   0.37
HECodemixedFemale803  37.92  68.14            0.51         1.00     0.68             1.00             0.00          1.13          0.00  0.00   0.00
HECodemixedFemale804  13.20  29.13            0.77         0.90     0.83             0.49             0.40          0.65          0.21  0.30   0.43
HECodemixedFemale805  30.27  57.57            0.58         0.91     0.70             0.12             0.09          0.98          0.22  0.09   0.16
HECodemixedFemale806  29.92  53.27            0.59         0.87     0.70             0.18             0.16          0.97          0.30  0.14   0.20
HECodemixedFemale807  40.53  68.74            0.49         1.00     0.65             1.00             0.00          1.22          0.00  0.00   0.00
HECodemixedFemale808  27.95  54.24            0.60         0.87     0.71             0.12             0.11          0.93          0.31  0.08   0.13
HECodemixedFemale809  29.40  46.48            0.60         0.78     0.68             0.27             0.25          0.93          0.44  0.25   0.27
HECodemixedFemale810   5.26   9.97            0.90         0.96     0.93             0.84             0.67          0.32          0.09  0.47   0.71
HECodemixedFemale811  44.06  59.50            0.58         0.70     0.63             0.19             0.14          0.91          0.62  0.19   0.20
HECodemixedFemale812  37.62  68.45            0.52         1.00     0.68             1.00             0.00          1.06          0.00  0.00   0.00
HECodemixedFemale813  29.47  43.42            0.62         0.72     0.67             0.34             0.28          0.85          0.56  0.33   0.32
HECodemixedFemale814   6.53  10.94            0.90         0.98     0.94             0.94             0.74          0.27          0.05  0.74   0.83
HECodemixedFemale815   7.26  17.11            0.87         0.93     0.90             0.70             0.60          0.42          0.15  0.41   0.60
HECodemixedFemale816  56.29  76.38            0.44         1.00     0.61             1.00             0.00          1.28          0.00  0.00   0.00
HECodemixedFemale817  13.02  39.91            0.77         0.93     0.85             0.30             0.25          0.63          0.14  0.15   0.32
HECodemixedFemale818   8.50  16.25            0.85         0.90     0.87             0.70             0.62          0.47          0.28  0.48   0.56
HECodemixedFemale819   4.63   8.76            0.91         0.97     0.94             0.87             0.69          0.28          0.07  0.47   0.74
HECodemixedFemale820  55.80  76.34            0.45         1.00     0.62             1.00             0.00          1.25          0.00  0.00   0.00
