File                    DER    JER    B3-Precision    B3-Recall    B3-F1    GKT(ref, sys)    GKT(sys, ref)    H(ref|sys)    H(sys|ref)    MI    NMI
--------------------  -----  -----  --------------  -----------  -------  ---------------  ---------------  ------------  ------------  ----  -----
HECodemixedFemale1    20.22  43.19            0.68         0.88     0.77             0.29             0.25          0.81          0.24  0.20   0.30
HECodemixedFemale10   35.86  57.97            0.55         0.84     0.67             0.14             0.13          0.99          0.35  0.13   0.18
HECodemixedFemale100  21.10  49.52            0.66         0.89     0.76             0.13             0.11          0.84          0.29  0.08   0.13
HECodemixedFemale101  33.60  58.23            0.55         0.88     0.68             0.25             0.11          0.99          0.27  0.15   0.22
HECodemixedFemale102  25.57  51.87            0.62         0.86     0.72             0.28             0.12          0.86          0.35  0.14   0.21
HECodemixedFemale103  22.91  52.99            0.65         0.93     0.76             0.14             0.12          0.85          0.17  0.09   0.19
HECodemixedFemale104  52.36  72.58            0.47         0.81     0.60             0.01             0.01          1.19          0.48  0.01   0.02
HECodemixedFemale105   8.30   6.16            0.86         0.99     0.92             0.97             0.72          0.38          0.04  0.82   0.81
HECodemixedFemale106  38.01  49.72            0.58         0.72     0.64             0.30             0.23          0.99          0.55  0.29   0.28
HECodemixedFemale107  28.45  59.73            0.60         0.95     0.73             0.27             0.07          0.90          0.14  0.10   0.20
HECodemixedFemale108   6.50  14.36            0.88         0.93     0.91             0.74             0.64          0.39          0.16  0.45   0.62
HECodemixedFemale109  23.44  61.01            0.64         1.00     0.78             1.00             0.00          0.94          0.00  0.00   0.00
HECodemixedFemale11   37.63  56.04            0.53         0.86     0.65             0.18             0.14          1.13          0.30  0.15   0.20
HECodemixedFemale110  50.35  74.24            0.47         1.00     0.64             1.00             0.00          1.19          0.00  0.00   0.00
HECodemixedFemale111  35.69  66.87            0.52         1.00     0.69             1.00             0.00          1.14          0.00  0.00   0.00
HECodemixedFemale112  31.90  56.16            0.57         0.89     0.69             0.15             0.13          1.01          0.25  0.12   0.18
HECodemixedFemale113  22.71  45.68            0.65         0.86     0.74             0.33             0.23          0.79          0.29  0.24   0.32
HECodemixedFemale114  49.42  72.06            0.49         0.95     0.65             0.03             0.03          1.12          0.14  0.03   0.06
HECodemixedFemale115  41.31  65.88            0.51         0.93     0.66             0.06             0.05          1.12          0.18  0.05   0.10
HECodemixedFemale116  39.19  51.99            0.59         0.71     0.64             0.27             0.22          0.96          0.58  0.26   0.26
HECodemixedFemale117  39.19  55.18            0.58         0.74     0.65             0.21             0.19          0.95          0.53  0.21   0.23
HECodemixedFemale118  32.98  62.61            0.55         0.95     0.70             0.05             0.05          1.02          0.13  0.04   0.10
HECodemixedFemale119  47.44  63.55            0.47         0.87     0.61             0.13             0.09          1.24          0.30  0.11   0.15
HECodemixedFemale12   14.86  30.48            0.75         0.85     0.80             0.47             0.42          0.67          0.33  0.33   0.40
HECodemixedFemale120  38.49  68.23            0.50         1.00     0.67             1.00             0.00          1.16          0.00  0.00   0.00
HECodemixedFemale121  37.56  66.97            0.50         1.00     0.67             1.00             0.00          1.22          0.00  0.00   0.00
HECodemixedFemale122  35.37  65.97            0.54         0.94     0.69             0.00             0.00          1.06          0.19  0.00   0.00
HECodemixedFemale123  32.75  50.68            0.57         0.80     0.66             0.39             0.18          0.95          0.45  0.28   0.30
HECodemixedFemale124  39.20  56.52            0.56         0.75     0.64             0.17             0.16          0.99          0.53  0.16   0.18
HECodemixedFemale125  31.36  52.45            0.57         0.83     0.67             0.17             0.14          1.03          0.40  0.12   0.16
HECodemixedFemale126  37.66  67.40            0.57         0.86     0.68             0.05             0.02          1.03          0.35  0.04   0.07
HECodemixedFemale127  20.61  39.27            0.68         0.84     0.75             0.34             0.30          0.81          0.36  0.24   0.31
HECodemixedFemale128  36.13  58.36            0.54         0.87     0.67             0.14             0.12          1.04          0.30  0.12   0.17
HECodemixedFemale13   48.50  66.39            0.52         0.83     0.64             0.27             0.08          0.99          0.41  0.17   0.21
HECodemixedFemale14   44.93  71.23            0.47         1.00     0.64             1.00             0.00          1.22          0.00  0.00   0.00
HECodemixedFemale15   26.85  48.85            0.61         0.82     0.70             0.19             0.17          0.93          0.42  0.13   0.18
HECodemixedFemale16   35.00  67.06            0.53         1.00     0.70             1.00             0.00          1.06          0.00  0.00   0.00
HECodemixedFemale17   16.96  28.22            0.73         0.80     0.76             0.52             0.48          0.67          0.42  0.46   0.47
HECodemixedFemale18   35.37  67.25            0.53         1.00     0.69             1.00             0.00          1.06          0.00  0.00   0.00
HECodemixedFemale19   52.02  73.52            0.43         1.00     0.60             1.00             0.00          1.34          0.00  0.00   0.00
HECodemixedFemale2    40.54  59.39            0.54         0.80     0.64             0.17             0.13          1.02          0.44  0.16   0.19
HECodemixedFemale20   34.46  57.73            0.55         0.88     0.68             0.14             0.12          1.05          0.26  0.11   0.17
HECodemixedFemale21   40.88  61.10            0.53         0.83     0.65             0.12             0.11          1.04          0.38  0.12   0.16
HECodemixedFemale22   28.67  56.22            0.60         0.91     0.72             0.32             0.12          0.92          0.21  0.16   0.26
HECodemixedFemale23   34.45  53.92            0.55         0.85     0.67             0.20             0.16          1.06          0.32  0.17   0.22
HECodemixedFemale24   43.68  70.54            0.47         1.00     0.64             1.00             0.00          1.23          0.00  0.00   0.00
HECodemixedFemale25   21.05  55.95            0.67         0.97     0.79             0.07             0.07          0.82          0.09  0.04   0.13
HECodemixedFemale26    7.89   7.05            0.87         0.98     0.92             0.95             0.74          0.38          0.07  0.83   0.79
HECodemixedFemale27   19.97  42.96            0.68         0.87     0.76             0.28             0.25          0.78          0.29  0.19   0.27
HECodemixedFemale28    9.64  16.68            0.83         0.90     0.86             0.75             0.65          0.48          0.24  0.64   0.65
HECodemixedFemale29   23.41  39.74            0.66         0.81     0.73             0.37             0.32          0.83          0.37  0.31   0.35
HECodemixedFemale3    36.85  58.57            0.54         0.83     0.65             0.21             0.11          0.98          0.41  0.14   0.17
HECodemixedFemale30   46.58  71.48            0.45         1.00     0.62             1.00             0.00          1.28          0.00  0.00   0.00
HECodemixedFemale31   43.02  70.69            0.49         1.00     0.65             1.00             0.00          1.16          0.00  0.00   0.00
HECodemixedFemale32   34.88  60.24            0.55         0.89     0.68             0.18             0.09          0.97          0.26  0.11   0.18
HECodemixedFemale33   45.02  65.51            0.52         0.86     0.65             0.09             0.08          1.05          0.33  0.09   0.13
HECodemixedFemale34   53.08  67.73            0.56         0.76     0.64             0.11             0.09          1.01          0.53  0.11   0.13
HECodemixedFemale35   26.29  62.51            0.61         1.00     0.75             1.00             0.00          0.99          0.00  0.00   0.00
HECodemixedFemale36   16.92  26.31            0.73         0.80     0.77             0.57             0.50          0.68          0.42  0.52   0.49
HECodemixedFemale37   43.99  56.13            0.54         0.70     0.61             0.20             0.16          1.08          0.61  0.20   0.20
HECodemixedFemale38   57.15  62.04            0.50         0.75     0.60             0.21             0.14          1.20          0.52  0.21   0.21
HECodemixedFemale39   24.46  46.04            0.63         0.83     0.72             0.23             0.21          0.89          0.39  0.16   0.21
HECodemixedFemale4    16.49  38.37            0.73         0.89     0.80             0.35             0.30          0.71          0.22  0.22   0.35
HECodemixedFemale40   34.98  67.07            0.54         1.00     0.70             1.00             0.00          1.05          0.00  0.00   0.00
HECodemixedFemale41   10.85  12.18            0.82         0.96     0.88             0.85             0.59          0.52          0.11  0.58   0.67
HECodemixedFemale42   23.79  51.55            0.63         0.89     0.74             0.14             0.12          0.89          0.27  0.08   0.14
HECodemixedFemale43   15.22  57.33            0.74         1.00     0.85             1.00             0.00          0.72          0.00  0.00   0.00
HECodemixedFemale44   43.83  62.71            0.51         0.85     0.64             0.12             0.10          1.12          0.34  0.11   0.15
HECodemixedFemale45   25.95  40.58            0.62         0.87     0.73             0.38             0.26          0.96          0.27  0.27   0.33
HECodemixedFemale46   39.15  57.06            0.57         0.76     0.65             0.18             0.16          0.94          0.50  0.18   0.20
HECodemixedFemale47   44.14  65.09            0.52         0.86     0.64             0.15             0.08          1.02          0.33  0.11   0.16
HECodemixedFemale48   25.64  51.05            0.63         0.89     0.74             0.41             0.18          0.84          0.24  0.24   0.33
HECodemixedFemale49   38.11  59.68            0.52         0.89     0.66             0.13             0.10          1.14          0.25  0.11   0.16
HECodemixedFemale5    19.81  40.11            0.69         0.84     0.75             0.31             0.29          0.78          0.36  0.22   0.29
HECodemixedFemale50   31.95  65.55            0.56         1.00     0.71             1.00             0.00          1.03          0.00  0.00   0.00
HECodemixedFemale51   19.35  39.87            0.69         0.85     0.76             0.40             0.30          0.74          0.30  0.29   0.38
HECodemixedFemale52   30.19  62.00            0.58         0.97     0.72             0.04             0.04          0.97          0.10  0.03   0.09
HECodemixedFemale53   36.69  51.41            0.58         0.74     0.65             0.26             0.22          0.96          0.53  0.25   0.26
HECodemixedFemale54   21.00  38.04            0.68         0.82     0.74             0.45             0.34          0.74          0.38  0.35   0.40
HECodemixedFemale55   30.86  65.13            0.57         1.00     0.72             1.00             0.00          0.99          0.00  0.00   0.00
HECodemixedFemale56   45.63  72.16            0.53         0.87     0.66             0.05             0.04          1.05          0.32  0.05   0.08
HECodemixedFemale57   43.52  70.78            0.48         1.00     0.65             1.00             0.00          1.18          0.00  0.00   0.00
HECodemixedFemale58   48.52  65.05            0.51         0.75     0.61             0.19             0.06          1.03          0.58  0.13   0.14
HECodemixedFemale59   55.75  69.28            0.50         0.82     0.62             0.10             0.08          1.16          0.40  0.10   0.13
HECodemixedFemale6    48.29  71.89            0.44         1.00     0.62             1.00             0.00          1.31          0.00  0.00   0.00
HECodemixedFemale60   25.89  62.44            0.61         1.00     0.76             1.00             0.00          0.96          0.00  0.00   0.00
HECodemixedFemale61   49.09  71.47            0.50         0.84     0.63             0.22             0.02          1.04          0.41  0.09   0.13
HECodemixedFemale62   47.16  71.81            0.48         0.98     0.64             0.01             0.01          1.17          0.06  0.01   0.04
HECodemixedFemale63    8.32   7.77            0.86         0.96     0.91             0.92             0.75          0.39          0.08  0.92   0.81
HECodemixedFemale64   24.45  53.54            0.63         0.89     0.74             0.08             0.06          0.92          0.30  0.05   0.08
HECodemixedFemale65   41.12  69.06            0.48         1.00     0.65             1.00             0.00          1.23          0.00  0.00   0.00
HECodemixedFemale66   37.84  54.56            0.56         0.74     0.64             0.19             0.17          0.99          0.55  0.17   0.19
HECodemixedFemale67   42.40  64.10            0.52         0.86     0.64             0.08             0.07          1.07          0.36  0.06   0.09
HECodemixedFemale68   39.50  59.97            0.54         0.82     0.65             0.18             0.12          0.99          0.39  0.15   0.19
HECodemixedFemale69   10.14  22.21            0.82         0.92     0.87             0.62             0.49          0.54          0.16  0.36   0.53
HECodemixedFemale7    23.66  41.32            0.65         0.79     0.71             0.36             0.29          0.82          0.45  0.28   0.31
HECodemixedFemale70   20.62  48.16            0.67         0.91     0.77             0.19             0.17          0.82          0.20  0.13   0.23
HECodemixedFemale71   49.94  65.83            0.47         0.87     0.61             0.11             0.08          1.25          0.30  0.10   0.13
HECodemixedFemale72   43.59  66.17            0.50         0.90     0.64             0.16             0.06          1.09          0.25  0.10   0.15
HECodemixedFemale73   40.96  57.46            0.55         0.75     0.63             0.17             0.15          1.02          0.52  0.17   0.19
HECodemixedFemale74   25.52  50.38            0.63         0.88     0.73             0.20             0.18          0.87          0.26  0.15   0.23
HECodemixedFemale75   32.47  65.78            0.55         1.00     0.71             1.00             0.00          1.03          0.00  0.00   0.00
HECodemixedFemale76   18.00  30.49            0.71         0.82     0.76             0.52             0.44          0.71          0.38  0.45   0.46
HECodemixedFemale77   25.93  55.39            0.62         0.93     0.74             0.12             0.11          0.90          0.17  0.08   0.17
HECodemixedFemale78   40.86  57.24            0.55         0.75     0.63             0.25             0.15          0.96          0.51  0.22   0.24
HECodemixedFemale79   21.43  38.51            0.67         0.82     0.74             0.43             0.32          0.78          0.35  0.34   0.39
HECodemixedFemale8    35.15  51.13            0.56         0.83     0.67             0.48             0.22          0.93          0.36  0.37   0.38
HECodemixedFemale80   28.40  46.39            0.62         0.82     0.71             0.47             0.24          0.87          0.41  0.34   0.36
HECodemixedFemale81   10.29  23.11            0.82         0.89     0.85             0.59             0.54          0.51          0.22  0.41   0.53
HECodemixedFemale82   26.51  58.21            0.61         0.95     0.74             0.08             0.07          0.92          0.13  0.05   0.13
HECodemixedFemale83   15.87  35.08            0.74         0.88     0.80             0.41             0.35          0.70          0.23  0.27   0.38
HECodemixedFemale84   19.65  37.95            0.69         0.81     0.74             0.34             0.31          0.79          0.41  0.24   0.29
HECodemixedFemale85   23.07  49.52            0.65         0.93     0.76             0.20             0.14          0.93          0.15  0.11   0.22
