File                    DER    JER    B3-Precision    B3-Recall    B3-F1    GKT(ref, sys)    GKT(sys, ref)    H(ref|sys)    H(sys|ref)    MI    NMI
--------------------  -----  -----  --------------  -----------  -------  ---------------  ---------------  ------------  ------------  ----  -----
HECodemixedFemale517  32.61  46.97            0.58         0.80     0.67             0.42             0.24          0.97          0.40  0.35   0.35
HECodemixedFemale518  33.28  57.36            0.55         0.85     0.67             0.10             0.09          1.03          0.36  0.07   0.11
HECodemixedFemale519  37.76  67.35            0.50         1.00     0.67             1.00             0.00          1.20          0.00  0.00   0.00
HECodemixedFemale520  41.04  59.47            0.54         0.79     0.64             0.15             0.13          1.03          0.45  0.14   0.16
HECodemixedFemale521  19.46  47.07            0.69         0.91     0.79             0.21             0.19          0.79          0.18  0.13   0.25
HECodemixedFemale522  50.30  73.16            0.46         0.95     0.62             0.00             0.00          1.22          0.17  0.00   0.01
HECodemixedFemale523  39.86  64.81            0.51         0.93     0.66             0.07             0.06          1.12          0.18  0.06   0.11
HECodemixedFemale524  32.93  58.69            0.56         0.89     0.69             0.13             0.10          0.98          0.25  0.10   0.17
HECodemixedFemale525  56.27  70.97            0.48         0.86     0.62             0.08             0.06          1.21          0.32  0.08   0.11
HECodemixedFemale526  18.14  58.71            0.70         1.00     0.82             1.00             0.00          0.80          0.00  0.00   0.00
HECodemixedFemale527  39.21  58.74            0.52         0.86     0.65             0.15             0.12          1.13          0.31  0.13   0.18
HECodemixedFemale528  25.07  62.08            0.62         1.00     0.76             1.00             0.00          0.95          0.00  0.00   0.00
HECodemixedFemale529  24.12  38.07            0.65         0.81     0.72             0.40             0.33          0.88          0.40  0.32   0.35
HECodemixedFemale530  48.85  73.94            0.48         1.00     0.65             1.00             0.00          1.12          0.00  0.00   0.00
HECodemixedFemale531  19.69  44.80            0.69         0.90     0.78             0.26             0.22          0.79          0.21  0.17   0.28
HECodemixedFemale532  35.24  51.28            0.59         0.74     0.66             0.25             0.22          0.91          0.53  0.24   0.26
HECodemixedFemale533  19.97  46.43            0.68         0.89     0.77             0.23             0.20          0.79          0.23  0.16   0.26
HECodemixedFemale534  46.38  71.41            0.46         1.00     0.63             1.00             0.00          1.28          0.00  0.00   0.00
HECodemixedFemale535  18.05  58.62            0.70         1.00     0.83             1.00             0.00          0.81          0.00  0.00   0.00
HECodemixedFemale536  30.98  45.47            0.62         0.72     0.66             0.34             0.26          0.83          0.57  0.32   0.32
HECodemixedFemale537  38.52  64.20            0.53         0.93     0.68             0.44             0.09          1.01          0.17  0.17   0.27
HECodemixedFemale538  47.74  72.89            0.47         1.00     0.64             1.00             0.00          1.19          0.00  0.00   0.00
HECodemixedFemale539  27.09  47.91            0.61         0.87     0.72             0.25             0.20          0.97          0.26  0.19   0.26
HECodemixedFemale540   5.87   5.24            0.90         0.99     0.94             0.95             0.72          0.31          0.04  0.66   0.80
HECodemixedFemale541  20.12  45.95            0.68         0.90     0.78             0.24             0.20          0.81          0.20  0.15   0.26
